image_idx,diagram_type,type_confidence,visual_complexity,color_entropy,text_density,spatial_layout,enrichment,specific_num_nodes,specific_num_edges,specific_graph_density,specific_avg_node_degree,specific_is_connected,color_num_dominant_colors,color_largest_segment_ratio,color_color_balance,color_compactness,color_segment_2_ratio,hog_vector_size,lbp_entropy,orb_count,orb_spread,original_caption,enriched_caption,specific_num_segments,specific_has_labels,specific_is_donut,specific_color_coded,specific_num_shapes,specific_num_lines,specific_has_structure,specific_dominant_feature
10,network_graph,0.8,0.37394466240756324,0.7411486,0.5055555555555555,networked,"Network graph with 164 nodes and 287 edges, density 0.02",164.0,287.0,0.02147239263803681,3.5,True,4,0.7230867850098619,0.7378851142144482,47164391.69420315,0.08878205128205129,8100,3.5221899138815775,500,0.2991393225843565,"Learning Theories, , elements: Three sections, each featuring a theorist with a photo and their name: John Watson (Behaviorism), Jean Piaget (Cognitivism), John Dewey (Constructivism). Each section lists relevant theorists underneath and includes an information link labeled '+ info'.","Learning Theories, , elements: Three sections, each featuring a theorist with a photo and their name: John Watson (Behaviorism), Jean Piaget (Cognitivism), John Dewey (Constructivism). Each section lists relevant theorists underneath and includes an information link labeled '+ info'. [Visual Analysis: Network graph with 164 nodes and 287 edges, density 0.02]",,,,,,,,
11,network_graph,0.8,0.18963783618599678,0.33450162,0.023809523809523808,networked,"Network graph with 41 nodes and 42 edges, density 0.05",41.0,42.0,0.05121951219512195,2.048780487804878,True,4,0.6869047619047619,0.7544184201881592,34618140.85664427,0.11918518518518519,8100,2.2372217648251347,500,0.3377304683791237,"Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure with six layers labeled: Remember, Understand, Apply, Analyze, Evaluate, and Create; a key on the right indicates College and High School levels.","Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure with six layers labeled: Remember, Understand, Apply, Analyze, Evaluate, and Create; a key on the right indicates College and High School levels. [Visual Analysis: Network graph with 41 nodes and 42 edges, density 0.05]",,,,,,,,
12,network_graph,0.8,0.2564029262923428,0.44255018,0.05499153976311336,networked,"Network graph with 191 nodes and 255 edges, density 0.01",191.0,255.0,0.014053458252962248,2.670157068062827,True,2,0.7883786949357791,0.704433618435653,4555421.331256837,0.1061282830087547,8100,2.9465153388075978,500,0.3215239084905633,"Zone of Proximal Development in Teaching, Graph, elements: Diagonal axis labeled 'Level of Challenge' and 'Level of Competence' with 'Zone of Proximal Development' highlighted. Areas labeled: 'Anxiety' above, 'Boredom' below, indicating learner independence and assistance.","Zone of Proximal Development in Teaching, Graph, elements: Diagonal axis labeled 'Level of Challenge' and 'Level of Competence' with 'Zone of Proximal Development' highlighted. Areas labeled: 'Anxiety' above, 'Boredom' below, indicating learner independence and assistance. [Visual Analysis: Network graph with 191 nodes and 255 edges, density 0.01]",,,,,,,,
13,network_graph,0.8,0.20544950193550796,0.6884446,0.115625,networked,"Network graph with 128 nodes and 224 edges, density 0.03",128.0,224.0,0.027559055118110236,3.5,True,4,0.486976,0.8392667335253837,504207985.8686117,0.248098,8100,3.4075626011838436,500,0.33361739724538836,"Big Five Personality Traits, Vertical Bar Diagram, elements: Vertical sections representing each trait: Open to Experience, Conscientiousness, Agreeableness, Neuroticism, Extraversion, with icons illustrating each trait against a background of gradient colors.","Big Five Personality Traits, Vertical Bar Diagram, elements: Vertical sections representing each trait: Open to Experience, Conscientiousness, Agreeableness, Neuroticism, Extraversion, with icons illustrating each trait against a background of gradient colors. [Visual Analysis: Network graph with 128 nodes and 224 edges, density 0.03]",,,,,,,,
14,network_graph,0.8,0.4299373180771396,0.40522355,0.01875,networked,"Network graph with 155 nodes and 386 edges, density 0.03",155.0,386.0,0.032341851696690405,4.980645161290322,True,5,0.661583798109252,0.7687758266865223,18781254.081296563,0.0953087298761916,8100,3.5936403476886962,500,0.3586827112093514,"Big Five Personality Traits, Circular Diagram, elements: Five colored circles representing personality traits: Neuroticism, Extraversion, Openness, Agreeableness, and Conscientiousness, each with descriptors for low and high levels labeled around the circles.","Big Five Personality Traits, Circular Diagram, elements: Five colored circles representing personality traits: Neuroticism, Extraversion, Openness, Agreeableness, and Conscientiousness, each with descriptors for low and high levels labeled around the circles. [Visual Analysis: Network graph with 155 nodes and 386 edges, density 0.03]",,,,,,,,
15,pie_chart,0.9,0.18801636346674114,0.26981217,0.2556818181818182,radial,"Pie chart with 14 segments, labeled",,,,,,2,0.9208316978552542,0.6390995436469639,114993062.7089138,0.05598087561813684,8100,3.4389612365637023,500,0.23885367092330873,"Git Branching and Operations, Network Diagram, elements: Nodes representing branches (Master, Feature-1, Feature-2) with connections indicating flow; each node lists file versions associated with the branches.","Git Branching and Operations, Network Diagram, elements: Nodes representing branches (Master, Feature-1, Feature-2) with connections indicating flow; each node lists file versions associated with the branches. [Visual Analysis: Pie chart with 14 segments, labeled]",14.0,True,True,True,,,,
16,network_graph,0.8,0.26026185571395466,0.28520212,0.12109375,networked,"Network graph with 29 nodes and 128 edges, density 0.32",29.0,128.0,0.31527093596059114,8.827586206896552,True,3,0.7372346756595913,0.7307150241088178,8776917.00778234,0.08904979170799444,8100,2.974197810910971,491,0.29094246025758985,"Big Five Personality Traits, Horizontal Diagram, elements: Five colored circles labeled O, C, E, A, N with corresponding traits: Openness - prefers routine; Conscientious - impulsive vs. disciplined; Extraversion - reserved vs. sociable; Agreeable - suspicious vs. trusting; Neuroticism - calm vs. anxious.","Big Five Personality Traits, Horizontal Diagram, elements: Five colored circles labeled O, C, E, A, N with corresponding traits: Openness - prefers routine; Conscientious - impulsive vs. disciplined; Extraversion - reserved vs. sociable; Agreeable - suspicious vs. trusting; Neuroticism - calm vs. anxious. [Visual Analysis: Network graph with 29 nodes and 128 edges, density 0.32]",,,,,,,,
17,network_graph,0.8,0.1728488116269101,0.33594394,0.04752851711026616,networked,"Network graph with 86 nodes and 92 edges, density 0.03",86.0,92.0,0.025170998632010944,2.13953488372093,True,4,0.6187348704313663,0.7872533104683499,16131734.038209438,0.14520417476884004,8100,2.325559556907729,500,0.346944281605199,"Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure with layers labeled: Knowledge (bottom), Comprehension, Application, Analysis, Synthesis, and Evaluation (top), with color coding for each level.","Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure with layers labeled: Knowledge (bottom), Comprehension, Application, Analysis, Synthesis, and Evaluation (top), with color coding for each level. [Visual Analysis: Network graph with 86 nodes and 92 edges, density 0.03]",,,,,,,,
18,network_graph,0.8,0.29392350090774544,0.48016152,0.06637168141592921,networked,"Network graph with 154 nodes and 194 edges, density 0.02",154.0,194.0,0.016467192937781174,2.5194805194805197,True,4,0.6788793103448276,0.7547575379821657,204357952.31058615,0.18103558797524313,8100,3.0561892671579534,500,0.19477573781456237,"Iterative Scrum Process, Circular Flow Diagram, elements: Outer ring with five phases labeled: Planning/Prioritization, Requirements, Design/Analysis, Implementation/Testing, and Review/Retrospective. Central 'Scrum Cycle' label. Top section showing 'Concept' with four iterations labeled Scrum 1 to Scrum 4.","Iterative Scrum Process, Circular Flow Diagram, elements: Outer ring with five phases labeled: Planning/Prioritization, Requirements, Design/Analysis, Implementation/Testing, and Review/Retrospective. Central 'Scrum Cycle' label. Top section showing 'Concept' with four iterations labeled Scrum 1 to Scrum 4. [Visual Analysis: Network graph with 154 nodes and 194 edges, density 0.02]",,,,,,,,
19,network_graph,0.8,0.30402825166648506,0.28126615,0.5541666666666667,networked,"Network graph with 169 nodes and 389 edges, density 0.03",169.0,389.0,0.02740208509439279,4.603550295857988,True,2,0.9071540832519531,0.646060422388343,59617767.343681574,0.053171793619791664,8100,2.4456994389519586,500,0.31798792443777985,"Impact of Population Growth on Capital and Income, Graph, elements: Graph with two investment lines labeled (δ+n₂)k and (δ+n₁)k, a production function curve s*f(k), and steady states k₂* and k₁*, illustrating shifts in capital per worker due to population growth changes.","Impact of Population Growth on Capital and Income, Graph, elements: Graph with two investment lines labeled (δ+n₂)k and (δ+n₁)k, a production function curve s*f(k), and steady states k₂* and k₁*, illustrating shifts in capital per worker due to population growth changes. [Visual Analysis: Network graph with 169 nodes and 389 edges, density 0.03]",,,,,,,,
20,network_graph,0.8,0.25265579358415513,0.4960078,0.0609375,networked,"Network graph with 191 nodes and 234 edges, density 0.01",191.0,234.0,0.012896114632130064,2.450261780104712,True,5,0.6043654320987655,0.7976350863366646,19025641.124658585,0.11077530864197531,8100,2.761141705703939,500,0.34380034556516587,"Gardner's Theory of Multiple Intelligences, Circular Diagram, elements: Central circle labeled 'The theory of intelligence' surrounded by eight segments representing different intelligences: linguistic, logical-mathematical, spatial, musical, bodily-kinesthetic, interpersonal, intrapersonal, and naturalistic.","Gardner's Theory of Multiple Intelligences, Circular Diagram, elements: Central circle labeled 'The theory of intelligence' surrounded by eight segments representing different intelligences: linguistic, logical-mathematical, spatial, musical, bodily-kinesthetic, interpersonal, intrapersonal, and naturalistic. [Visual Analysis: Network graph with 191 nodes and 234 edges, density 0.01]",,,,,,,,
21,network_graph,0.8,0.31588638699008165,0.4119132,0.720108695652174,networked,"Network graph with 153 nodes and 229 edges, density 0.02",153.0,229.0,0.019693842449260406,2.9934640522875817,True,3,0.48300165210234564,0.7965598622218524,195042742.06212008,0.4109740747016533,8100,2.8089845449506905,500,0.3265410311734573,"PESTEL Analysis of Google, Grid, elements: Six columns labeled P (Political), E (Economic), S (Sociological), T (Technological), E (Ecological), and L (Legal), each containing bullet points detailing factors affecting Google's business environment.","PESTEL Analysis of Google, Grid, elements: Six columns labeled P (Political), E (Economic), S (Sociological), T (Technological), E (Ecological), and L (Legal), each containing bullet points detailing factors affecting Google's business environment. [Visual Analysis: Network graph with 153 nodes and 229 edges, density 0.02]",,,,,,,,
22,pie_chart,0.9,0.39490851022140366,0.23215231,0.9954090150250418,radial,"Pie chart with 18 segments, labeled",,,,,,4,0.7431045411459575,0.7272562374483889,152498802.56269455,0.1081771448177203,8100,3.1412045659236467,500,0.24046538231248984,"PESTLE Analysis Factors, Table, elements: A table divided into six categories: Political, Economic, Social, Technological, Environmental, and Legal, with factors, details, term impacts, and overall impact color-coded.","PESTLE Analysis Factors, Table, elements: A table divided into six categories: Political, Economic, Social, Technological, Environmental, and Legal, with factors, details, term impacts, and overall impact color-coded. [Visual Analysis: Pie chart with 18 segments, labeled]",18.0,True,True,True,,,,
23,network_graph,0.8,0.1988173023892193,0.64512706,0.08125,networked,"Network graph with 275 nodes and 317 edges, density 0.01",275.0,317.0,0.008414067684140677,2.3054545454545456,True,5,0.49177283950617284,0.8507181736223959,13414115.882412523,0.18710123456790123,8100,3.500647554435063,500,0.10429651076990394,"The Big Five Personality Traits, Circular Diagram, elements: Five segments labeled: Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism, with a central title in bold.","The Big Five Personality Traits, Circular Diagram, elements: Five segments labeled: Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism, with a central title in bold. [Visual Analysis: Network graph with 275 nodes and 317 edges, density 0.01]",,,,,,,,
24,network_graph,0.8,0.4437729764373569,0.6350157,0.06725417439703155,networked,"Network graph with 199 nodes and 383 edges, density 0.02",199.0,383.0,0.019440637531089794,3.849246231155779,True,5,0.3752189839146361,0.8790368480390272,9731089.362189889,0.2723960821786909,8100,3.5924551200535086,500,0.29781473060749303,"Big Five Personality Traits, Mind Map, elements: Central box labeled 'Big 5' with branches for 'Traits' and 'Facets'. 'Traits' includes 'Agreeableness', 'Extraversion', 'Conscientiousness', 'Neuroticism', and 'Openness to experiences'. 'Facets' lists related characteristics under each trait, highlighting concepts like 'Trust', 'Friendliness', and 'Anxiety'.","Big Five Personality Traits, Mind Map, elements: Central box labeled 'Big 5' with branches for 'Traits' and 'Facets'. 'Traits' includes 'Agreeableness', 'Extraversion', 'Conscientiousness', 'Neuroticism', and 'Openness to experiences'. 'Facets' lists related characteristics under each trait, highlighting concepts like 'Trust', 'Friendliness', and 'Anxiety'. [Visual Analysis: Network graph with 199 nodes and 383 edges, density 0.02]",,,,,,,,
25,pie_chart,0.9,0.13537740854813313,0.19487457,0.1,radial,"Pie chart with 18 segments, unlabeled",,,,,,1,0.9068695746527777,0.646295078818194,105650889.14276105,0.044210069444444444,8100,1.5573907457234426,500,0.21606511054383995,"7S Framework, Circular Flow Diagram, elements: Seven interconnected elements: Strategy, Structure, Systems, Shared Values, Style, Staff, and Skills, each represented by a colored circle, with 'Shared Values' at the center.","7S Framework, Circular Flow Diagram, elements: Seven interconnected elements: Strategy, Structure, Systems, Shared Values, Style, Staff, and Skills, each represented by a colored circle, with 'Shared Values' at the center. [Visual Analysis: Pie chart with 18 segments, unlabeled]",18.0,False,True,False,,,,
26,network_graph,0.8,0.262658407265112,0.462165,0.1082155477031802,networked,"Network graph with 213 nodes and 197 edges, density 0.01",213.0,197.0,0.008725307821773408,1.8497652582159625,False,3,0.789687493807344,0.7048598498631671,6836777.213299304,0.07690783346214058,8100,3.3127370294818124,500,0.28953056010090633,"Porter's Five Forces, Circular Flow Diagram, elements: Five colored circles representing forces: Rivalry Among Competitors, Threat of New Entrants, Bargaining Power of Buyers, Threat of Substitute Products or Services, and Bargaining Power of Suppliers, each labeled with icons.","Porter's Five Forces, Circular Flow Diagram, elements: Five colored circles representing forces: Rivalry Among Competitors, Threat of New Entrants, Bargaining Power of Buyers, Threat of Substitute Products or Services, and Bargaining Power of Suppliers, each labeled with icons. [Visual Analysis: Network graph with 213 nodes and 197 edges, density 0.01]",,,,,,,,
27,network_graph,0.8,0.15106023425164072,0.36056116,0.01669449081803005,networked,"Network graph with 25 nodes and 59 edges, density 0.20",25.0,59.0,0.19666666666666666,4.72,True,3,0.7020260319229391,0.746113393083222,1833446.106764011,0.12271623611829797,8100,2.3496891581522976,500,0.2849548755144292,"ADDIE Model, Circular Flow Diagram, elements: Central element labeled 'ADDIE' surrounded by five circles labeled: 'Analysis', 'Design', 'Development', 'Implementation', and 'Evaluation', connected in a circular layout.","ADDIE Model, Circular Flow Diagram, elements: Central element labeled 'ADDIE' surrounded by five circles labeled: 'Analysis', 'Design', 'Development', 'Implementation', and 'Evaluation', connected in a circular layout. [Visual Analysis: Network graph with 25 nodes and 59 edges, density 0.20]",,,,,,,,
28,network_graph,0.8,0.3356932348479674,0.67594886,0.08613074204946997,networked,"Network graph with 251 nodes and 315 edges, density 0.01",251.0,315.0,0.0100398406374502,2.50996015936255,True,4,0.5180032895388701,0.8246422155771224,9889405.399261992,0.2367477161484652,8100,3.6637783498176573,500,0.19225333963818303,"The Secret Strength of UDL, List, elements: Six numbered sections with illustrations; each section describes a strategy: 1. Minimize threats and distractions, 2. Offer alternatives for auditory or visual information, 3. Embrace through multiple modes, 4. Optimize access to tasks and assistive technologies, 5. Use multiple media for communication.","The Secret Strength of UDL, List, elements: Six numbered sections with illustrations; each section describes a strategy: 1. Minimize threats and distractions, 2. Offer alternatives for auditory or visual information, 3. Embrace through multiple modes, 4. Optimize access to tasks and assistive technologies, 5. Use multiple media for communication. [Visual Analysis: Network graph with 251 nodes and 315 edges, density 0.01]",,,,,,,,
29,network_graph,0.8,0.252218710983346,0.19209276,0.21575984990619138,networked,"Network graph with 59 nodes and 110 edges, density 0.06",59.0,110.0,0.06428988895382817,3.7288135593220337,True,2,0.8636833333333334,0.6675786497285117,56346988.90204477,0.06238333333333333,8100,1.9318872266283968,500,0.27631279852943413,"Design Thinking Process, Circular Flow Diagram, elements: Four labeled boxes: 'Analyze a Need' (top), 'Develop Ideas' (right), 'Create a Prototype' (bottom), 'Test and Evaluate' (left) connected in a circular flow with arrows indicating the direction of the process.","Design Thinking Process, Circular Flow Diagram, elements: Four labeled boxes: 'Analyze a Need' (top), 'Develop Ideas' (right), 'Create a Prototype' (bottom), 'Test and Evaluate' (left) connected in a circular flow with arrows indicating the direction of the process. [Visual Analysis: Network graph with 59 nodes and 110 edges, density 0.06]",,,,,,,,
30,network_graph,0.8,0.39642072463199785,0.6881727,0.11835548172757475,networked,"Network graph with 287 nodes and 653 edges, density 0.02",287.0,653.0,0.01591091834994274,4.550522648083624,True,4,0.7181467181467182,0.7405526178666725,16588905.056151748,0.08811008811008811,8100,3.4639313241033944,500,0.31806582887152146,"UDL Thinking Framework, Circular Flow Diagram, elements: Circles around a central 'UDL Thinking' node with labels: 'What are the goals?', 'What does everyone need?', 'What might help?', 'Feedback', 'Use guidelines', and 'Remove barriers', with arrows indicating flow between them.","UDL Thinking Framework, Circular Flow Diagram, elements: Circles around a central 'UDL Thinking' node with labels: 'What are the goals?', 'What does everyone need?', 'What might help?', 'Feedback', 'Use guidelines', and 'Remove barriers', with arrows indicating flow between them. [Visual Analysis: Network graph with 287 nodes and 653 edges, density 0.02]",,,,,,,,
31,network_graph,0.8,0.2438218066723982,0.4883014,0.03958333333333333,networked,"Network graph with 167 nodes and 152 edges, density 0.01",167.0,152.0,0.010966019767693529,1.8203592814371257,False,4,0.6816796875,0.7550156749928676,156597493.77260268,0.15892939814814816,8100,3.061260114177804,500,0.3339801382263933,"The Networked Teacher, Network Diagram, elements: Central figure labeled 'The Networked Teacher' with multiple branches connecting to various resources including 'Colleagues', 'Popular Media', 'Social Network Sites', 'Twitter', 'Podcasts', 'Wikis', 'Blogs', 'Video Conferencing', 'Conferences', 'Curriculum Documents', 'Social Bookmarking', 'Family/Local Community', and 'Print & Digital Resources'.","The Networked Teacher, Network Diagram, elements: Central figure labeled 'The Networked Teacher' with multiple branches connecting to various resources including 'Colleagues', 'Popular Media', 'Social Network Sites', 'Twitter', 'Podcasts', 'Wikis', 'Blogs', 'Video Conferencing', 'Conferences', 'Curriculum Documents', 'Social Bookmarking', 'Family/Local Community', and 'Print & Digital Resources'. [Visual Analysis: Network graph with 167 nodes and 152 edges, density 0.01]",,,,,,,,
32,network_graph,0.8,0.32370094854388404,0.36826593,0.09166666666666666,networked,"Network graph with 131 nodes and 235 edges, density 0.03",131.0,235.0,0.02759835584263065,3.5877862595419847,True,2,0.5426654320987654,0.7871208993432699,102039041.28222579,0.35883827160493825,8100,2.7331710626420085,500,0.2799625529191678,"Social Learning Theory, , elements: Title at the top: 'Social Learning Theory'. Main text describing the theory by Albert Bandura, focusing on learning through observation and vicarious reinforcement. Illustrations of a child and an adult engaged in social interaction.","Social Learning Theory, , elements: Title at the top: 'Social Learning Theory'. Main text describing the theory by Albert Bandura, focusing on learning through observation and vicarious reinforcement. Illustrations of a child and an adult engaged in social interaction. [Visual Analysis: Network graph with 131 nodes and 235 edges, density 0.03]",,,,,,,,
